URL,Тип страницы,Title,H1,Description,Ключевые формулировки,Частотность
https://odintsovclinic.ru/blog/endometrioz-prichiny-simptomy,Информационная,"Эндометриоз: причины, симптомы и диагностика | Клиника Одинцова","Эндометриоз: причины, симптомы и современные подходы к лечению","Подробно об эндометриозе: почему возникает, как проявляется болью и нарушениями цикла, как ставится диагноз и какие методы лечения существуют сегодня.","эндометриоз симптомы, эндометриоз лечение, тазовая боль, обильные месячные, бесплодие и эндометриоз, гинекология, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/endometrioz-vs-rak-endometriya,Информационная,Эндометриоз и рак эндометрия: отличия | Клиника Одинцова,Эндометриоз или рак эндометрия: в чём разница и как не пропустить опасное,"Разбираем, чем отличаются эндометриоз и рак эндометрия, какие симптомы должны насторожить, какую роль играет биопсия в диагностике и когда нужна консультация специалиста.","рак эндометрия симптомы, эндометриоз и онкология, биопсия эндометрия, маточное кровотечение, гинекология диагностика, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/eroziya-sheyki-matki,Информационная,Эрозия шейки матки: мифы и правда | Клиника Одинцова,Эрозия шейки матки: мифы и правда,"Разбираем, что врачи обычно называют эрозией шейки матки, когда действительно нужно лечение и как проходит наблюдение без лишней тревоги.","эрозия шейки матки, эктопия шейки матки, прижигание эрозии, дисплазия шейки матки, кольпоскопия, гинеколог, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/fibroadenoma-chastye-voprosy,Информационная,Фиброаденома: ответы на частые вопросы | Клиника Одинцова,Фиброаденома: ответы на частые вопросы,"Краткие и спокойные ответы на вопросы о фиброаденоме молочной железы: наблюдение, беременность, удаление и выбор метода лечения.","фиброаденома вопросы, лечение фиброаденомы, наблюдение, ВАБ, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/gipotireoz-simptomy-lechenie,Информационная,"Гипотиреоз: симптомы, диагностика и лечение | Клиника Одинцова","Гипотиреоз: симптомы, диагностика и лечение","Гипотиреоз - снижение функции щитовидной железы. Разбираем симптомы, анализы и подход к лечению без лишней тревоги.","гипотиреоз симптомы, гипотиреоз лечение, щитовидная железа, ТТГ, эндокринология, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/gormonal-naya-terapiya-pri-menopauze,Информационная,Гормональная терапия при менопаузе | Клиника Одинцова,"Гормональная терапия при менопаузе: мифы, факты и что важно знать","Разбираем главные мифы о гормонозаместительной терапии при менопаузе, когда она показана, как влияет на сердечно-сосудистый риск и что говорит современная медицина.","гормональная терапия при менопаузе, ГЗТ, заместительная гормонотерапия, менопауза лечение, приливы лечение, гинеколог эндокринолог СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/kak-izbezhat-operatsii-na-grudi,Информационная,Когда можно обойтись без операции на молочной железе | Клиника Одинцова,Когда можно обойтись без операции на молочной железе,"Разбираем, в каких случаях допустимо наблюдение, когда помогает ВАБ и когда операция действительно необходима.","операция молочная железа, наблюдение, ВАБ, второе мнение, маммолог, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/kak-podgotovitsya-k-mammografii,Информационная,Как подготовиться к маммографии | Клиника Одинцова,Как подготовиться к маммографии,"Простая подготовка к маммографии: когда лучше делать, что нельзя, что взять с собой и чего ожидать во время процедуры.","подготовка к маммографии, маммография, скрининг молочных желёз, маммолог, диагностика",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/kak-podgotovitsya-k-priemu-endokrinologa,Информационная,Как подготовиться к приёму эндокринолога | Клиника Одинцова,Как подготовиться к приёму эндокринолога,"Что стоит подготовить перед визитом к эндокринологу, чтобы приём прошёл спокойно и врач получил достаточно данных для решения.","прием эндокринолога, эндокринолог, щитовидная железа, подготовка к приему, гормоны, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/kak-podgotovitsya-k-priemu-ginekologa,Информационная,Как подготовиться к приёму гинеколога | Клиника Одинцова,Как подготовиться к приёму гинеколога,"Что стоит учесть перед визитом к гинекологу, чтобы приём прошёл спокойно, а результаты осмотра были информативными.","подготовка к гинекологу, визит к гинекологу, прием гинеколога, осмотр гинеколога, женское здоровье, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/kak-podgotovitsya-k-vab,Информационная,Как подготовиться к ВАБ | Клиника Одинцова,Как подготовиться к ВАБ,"Подготовка к вакуумной аспирационной биопсии: что нужно сделать заранее, что взять с собой, как проходит процедура и что ожидать после.","подготовка к ВАБ, вакуумная биопсия, ВАБ молочной железы, маммолог, фиброаденома",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/kak-prokhodit-priem-ginekologa,Информационная,Как проходит приём гинеколога | Клиника Одинцова,Как проходит приём гинеколога,"Разбираем, как обычно проходит приём гинеколога или гинеколога-эндокринолога, какие этапы входят в осмотр и когда могут понадобиться анализы.","прием гинеколога, осмотр гинеколога, гинеколог-эндокринолог, осмотр на кресле, мазок на флору, женское здоровье, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/kak-prokhodit-uzi-molochnyh-zhelez,Информационная,Как проходит УЗИ молочных желёз | Клиника Одинцова,Как проходит УЗИ молочных желёз,"Что происходит во время УЗИ молочных желёз: подготовка, ход процедуры, что оценивает врач и как читать заключение. Без лишней тревоги.","УЗИ молочных желёз, ультразвук молочной железы, маммолог, BI-RADS, диагностика молочных желёз",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/kishechnik-i-nastroenie,Информационная,Кишечник и настроение: роль микробиома | Клиника Одинцова,Кишечник и настроение: как микробиом влияет на психоэмоциональное состояние,"Разбираем связь между кишечным микробиомом и психическим здоровьем: как питание, стресс и пробиотики влияют на тревогу, депрессию и качество сна.","микробиом, кишечник и настроение, ось кишечник-мозг, пробиотики, тревога и питание, нутрициология, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/kista-molochnoy-zhelezy,Информационная,"Киста молочной железы: причины, симптомы и лечение | Клиника Одинцова","Киста молочной железы: причины, симптомы и лечение","Как обычно проявляется киста молочной железы, какие обследования нужны и какие варианты лечения обсуждают с маммологом.","киста молочной железы, пункция кисты, ВАБ, маммолог, УЗИ молочных желёз, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/mammografiya-ili-uzi,Информационная,Маммография или УЗИ молочных желёз: что выбрать | Клиника Одинцова,Маммография или УЗИ молочных желёз: что выбрать,"Сравниваем маммографию и УЗИ молочных желёз: когда какой метод информативнее, как выбрать обследование и что учитывать по возрасту и показаниям.","маммография или УЗИ, диагностика молочных желёз, скрининг рака молочной железы, маммология, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/metabolicheskoe-zdorovye-i-ves,Информационная,Метаболическое здоровье и вес у женщин | Клиника Одинцова,Метаболическое здоровье женщины: почему вес — это не только калории,"Разбираем, как гормоны, инсулинорезистентность и хронический стресс влияют на вес у женщин — и почему диеты часто не работают без коррекции метаболизма.","метаболическое здоровье, инсулинорезистентность, вес и гормоны, нутрициология, диабет 2 типа, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/mylnaya-opera-o-kistoznoy-mastopatii,Информационная,Кистозная мастопатия: что важно понимать | Клиника Одинцова,Кистозная мастопатия: что важно понимать,"Спокойный разбор термина 'кистозная мастопатия': почему он используется, какие жалобы встречаются и как врач выбирает тактику.","кистозная мастопатия, киста молочной железы, маммология, УЗИ, пункция, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/perimenopauza-vs-menopauza,Информационная,Перименопауза и менопауза: отличия | Клиника Одинцова,"Перименопауза и менопауза: как понять, на каком этапе вы находитесь","Объясняем разницу между перименопаузой и менопаузой, какие признаки появляются с середины 30-х годов, как меняются гормоны и чего ожидать в каждом периоде.","перименопауза, менопауза, симптомы менопаузы, гормоны при менопаузе, климакс, женское здоровье, гинеколог СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/pervichnaya-medpomoshch-zhenshchinam,Информационная,Первичная медицинская помощь женщинам | Клиника Одинцова,Почему женщине важен «свой» врач: роль первичной медицинской помощи,"Рассказываем, почему регулярное наблюдение у одного врача важно для женского здоровья — репродуктивного, гормонального, при менопаузе и хронических заболеваниях.","первичная медицинская помощь, свой врач, женское здоровье, наблюдение у гинеколога, профилактика заболеваний женщин, автоиммунные заболевания женщин, гинеколог СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/pitaniye-i-gormony,Информационная,Питание и гормоны: что важно знать | Клиника Одинцова,"Питание и гормональный баланс: что есть, чтобы чувствовать себя лучше","Как питание связано с гормональным здоровьем: роль рациона, дефицитов и пищевых привычек. Когда полезна консультация врача и почему диета не заменяет лечение.","питание и гормоны, гормональный баланс, здоровые жиры, магний, витамин B6, ПМС, нутрициология, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/pitaniye-pri-spkya,Информационная,Питание при СПКЯ: рацион и привычки | Клиника Одинцова,Питание при СПКЯ: как диета помогает справиться с синдромом поликистозных яичников,"Питание при синдроме поликистозных яичников: пищевые привычки, контроль веса и роль рациона. Почему изменения питания стоит обсуждать с лечащим врачом.","СПКЯ, синдром поликистозных яичников, инсулинорезистентность, питание при СПКЯ, диета при СПКЯ, нутрициология, гинекология, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/profilakticheskiy-skrining-zhenshchin,Информационная,Профилактические обследования женщин | Клиника Одинцова,"Какие обследования нужны женщине в 20, 30, 40 и 50 лет","Подробный гид по профилактическому скринингу для женщин: мазок Папаниколау, маммография, щитовидная железа, холестерин — какие анализы и когда нужно сдавать.","скрининг для женщин, профилактические обследования женщин, мазок Папаниколау, маммография, щитовидная железа анализы, женское здоровье, гинеколог СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/rannyaya-diagnostika-raka-grudi,Информационная,Ранняя диагностика рака молочной железы: что важно знать | Клиника Одинцова,Ранняя диагностика рака молочной железы: что важно знать,"Когда нужны маммография, УЗИ и биопсия, как врачи оценивают риск и почему ранняя диагностика важнее самодиагноза.","ранняя диагностика рака молочной железы, маммография, УЗИ молочных желёз, биопсия, маммолог, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/simptomy-gipotireoza-i-gipertireoza,Информационная,Гипотиреоз и гипертиреоз: симптомы | Клиника Одинцова,Симптомы гипотиреоза и гипертиреоза: когда проверить щитовидную железу,Как распознать возможные нарушения работы щитовидной железы. Разбираем симптомы гипотиреоза и гипертиреоза без лишней тревоги.,"гипотиреоз, гипертиреоз, щитовидная железа, симптомы гипотиреоза, симптомы гипертиреоза, эндокринология, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/stres-i-gormony,Информационная,Стресс и гормоны: связь и симптомы | Клиника Одинцова,Стресс и гормоны: как нервная система нарушает менструальный цикл,"Почему стресс сбивает цикл, как кортизол влияет на гормональный баланс и что делать, если менструации стали нерегулярными после нервного периода.","стресс и менструальный цикл, кортизол, гормональный дисбаланс, нерегулярный цикл, женское здоровье, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/tazovye-boli-u-zhenshchin,Информационная,"Тазовые боли у женщин: 6 причин, которые нельзя игнорировать | Клиника Одинцова","Тазовые боли у женщин: 6 причин, которые нельзя игнорировать","Разбираем основные причины тазовых болей и спазмов у женщин — эндометриоз, аденомиоз, кисты яичников, миома, а также когда нужно обратиться к гинекологу.","тазовая боль у женщин, причины тазовых болей, эндометриоз, аденомиоз, киста яичника, миома матки, гинеколог СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/testirovaniye-gormonov-menopauza,Информационная,Анализы на гормоны при менопаузе | Клиника Одинцова,"5 вещей, которые нужно знать о гормональных анализах при менопаузе","Гормональные анализы при менопаузе — не просто цифры в бланке. Разбираем, что реально показывают тесты, почему диагноз ставится клинически и каких ошибок лучше избежать.","гормональные анализы, менопауза, перименопауза, ФСГ, эстрадиол, диагностика, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/tonkoigolnaya-punktsionnaya-biopsiya,Информационная,Тонкоигольная биопсия молочной железы | Клиника Одинцова,Тонкоигольная пункционная биопсия молочной железы: как проходит процедура,"Что такое ТАБ, в каких случаях её назначают, как проходит процедура и чем она отличается от других методов биопсии.","ТАБ молочной железы, тонкоигольная биопсия, биопсия под УЗИ, маммология, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/top-5-obrashcheniy-2025,Информационная,Топ-5 причин обращений в клинику за 2025 год | Клиника Одинцова,Топ-5 причин обращений в клинику за 2025 год,"Самые частые поводы, с которыми пациентки приходят к маммологу, гинекологу и эндокринологу. Реальная картина без лишней тревоги.","маммолог, фиброаденома, второе мнение, маммография, киста молочной железы, гинеколог СПб",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/vab-ili-operatsiya,Информационная,ВАБ или операция при фиброаденоме: как выбрать | Клиника Одинцова,ВАБ или операция при фиброаденоме: как выбрать,"Сравниваем вакуумную аспирационную биопсию и хирургическое удаление фиброаденомы: когда подходит малоинвазивный метод, а когда разумнее операция.","ВАБ или операция, фиброаденома, удаление фиброаденомы, вакуумная биопсия, маммолог, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/zabolevaniya-schitovidnoy-zhelezy,Информационная,Заболевания щитовидной железы у женщин | Клиника Одинцова,Заболевания щитовидной железы у женщин: гипотиреоз и тиреоидит Хашимото,"Щитовидная железа управляет метаболизмом, настроением и репродуктивным здоровьем. Разбираемся, как распознать гипотиреоз и тиреоидит Хашимото и что с ними делать.","гипотиреоз, тиреоидит Хашимото, щитовидная железа, ТТГ, Т3, Т4, аутоиммунный тиреоидит, эндокринология, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/zdorovye-grudi-samoosmotr,Информационная,Самоосмотр молочных желёз: что важно знать | Клиника Одинцова,Как заботиться о здоровье молочной железы: самоосмотр и скрининг,"Регулярный самоосмотр и своевременный скрининг — основа раннего выявления заболеваний молочной железы. Рассказываем, как правильно проводить самоосмотр и когда нужна маммография.","самоосмотр молочной железы, маммография, скрининг, здоровье груди, профилактика, маммология, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/blog/zhenskiy-stres-osobennosti,Информационная,Женский стресс: почему мы реагируем иначе и что с этим делать | Клиника Одинцова,Женский стресс: почему мы реагируем иначе и что с этим делать,"Женский организм реагирует на стресс иначе, чем мужской — биологически и психологически. Разбираем, как хронический стресс влияет на здоровье женщины и что помогает.","женский стресс, стресс и здоровье, хронический стресс, нейроэндокринная система, кортизол, женское здоровье, СПб, Санкт-Петербург",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/contacts,Услуга / навигационная,Контакты клиники Одинцова — адрес и телефон в СПб,Контакты клиники в Санкт-Петербурге,"Клиника Одинцова: Санкт-Петербург, Богатырский проспект, 22 к. 1. Телефон +7 (812) 748-22-10. Часы работы, маршрут от метро и запись на приём.","контакты клиника Одинцова, Приморский район СПб, Богатырский проспект 22, маммолог Комендантский проспект, маммолог Старая Деревня, как добраться клиника Одинцова",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/dlya-inogorodnikh,Услуга / навигационная,Иногородним пациентам — приём и ВАБ в Санкт-Петербурге,Для иногородних пациентов,"Как спланировать поездку в клинику Одинцова из другого города: документы, предварительное обращение, консультация маммолога и ВАБ по показаниям.","клиника одинцова для иногородних, маммолог спб из другого города, ВАБ спб приехать, лечение в спб иногородним",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/doctors,Услуга / навигационная,Врачи клиники Одинцова в СПб — специальности и запись,Ваши доктора,"Маммологи, гинекологи, эндокринологи и нутрициологи клиники Одинцова в Санкт-Петербурге. Образование, опыт, профили врачей и запись на приём.","врачи клиника Одинцова, онколог-маммолог СПб, гинеколог СПб, эндокринолог СПб, нутрициолог СПб, врачи Санкт-Петербург, Приморский район",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/doctors/egorova,Профиль врача,Егорова Анастасия Александровна — онколог-маммолог в СПб,Егорова Анастасия Александровна,"Егорова Анастасия Александровна: онколог-маммолог, гинеколог, врач узд. Стаж 18 лет. Запись в клинику Одинцова на Богатырском проспекте, 22 к. 1.","Егорова Анастасия Александровна, Онколог-маммолог, гинеколог, врач УЗД Санкт-Петербург, Онколог-маммолог, гинеколог, врач УЗД СПб, клиника Одинцова врачи",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/doctors/kalinina,Профиль врача,Калинина Ирина Аркадьевна — эндокринолог в СПб,Калинина Ирина Аркадьевна,"Калинина Ирина Аркадьевна: эндокринолог, нутрициолог. Стаж 27 лет. Запись в клинику Одинцова на Богатырском проспекте, 22 к. 1.","Калинина Ирина Аркадьевна, Эндокринолог, нутрициолог Санкт-Петербург, Эндокринолог, нутрициолог СПб, клиника Одинцова врачи",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/doctors/macuchov,Профиль врача,Мацухов Алим Суфьянович — онколог-маммолог в СПб,Мацухов Алим Суфьянович,"Мацухов Алим Суфьянович: онколог-маммолог, хирург, врач узд. Стаж 8 лет. Запись в клинику Одинцова на Богатырском проспекте, 22 к. 1.","Мацухов Алим Суфьянович, Онколог-маммолог, хирург, врач УЗД Санкт-Петербург, Онколог-маммолог, хирург, врач УЗД СПб, клиника Одинцова врачи",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/doctors/nevzorova,Профиль врача,Невзорова Елена Александровна — гинеколог в СПб,Невзорова Елена Александровна,"Невзорова Елена Александровна: гинеколог, акушер-гинеколог, нутрициолог, врач узд. Стаж 29 лет. Запись в клинику Одинцова на Богатырском проспекте, 22 к. 1.","Невзорова Елена Александровна, Гинеколог, акушер-гинеколог, нутрициолог, врач УЗД Санкт-Петербург, Гинеколог, акушер-гинеколог, нутрициолог, врач УЗД СПб, клиника Одинцова врачи",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/doctors/odintsov,Профиль врача,Одинцов Владислав Александрович — онколог-маммолог в СПб,Одинцов Владислав Александрович,"Одинцов Владислав Александрович: онколог-маммолог, врач узд, дмн. Стаж 30 лет. Запись в клинику Одинцова на Богатырском проспекте, 22 к. 1.","Одинцов Владислав Александрович, Онколог-маммолог, врач УЗД, ДМН Санкт-Петербург, Онколог-маммолог, врач УЗД, ДМН СПб, клиника Одинцова врачи",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/doctors/prikhodko,Профиль врача,Приходько Кирилл Андреевич — онколог-маммолог в СПб,Приходько Кирилл Андреевич,"Приходько Кирилл Андреевич: онколог-маммолог, хирург, врач узд. Стаж 14 лет. Запись в клинику Одинцова на Богатырском проспекте, 22 к. 1.","Приходько Кирилл Андреевич, Онколог-маммолог, хирург, врач УЗД Санкт-Петербург, Онколог-маммолог, хирург, врач УЗД СПб, клиника Одинцова врачи",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/doctors/skurihin,Профиль врача,Скурихин Семён Сергеевич — онколог-маммолог в СПб,Скурихин Семён Сергеевич,"Скурихин Семён Сергеевич: онколог-маммолог, хирург, врач узд. Стаж 16 лет. Запись в клинику Одинцова на Богатырском проспекте, 22 к. 1.","Скурихин Семён Сергеевич, Онколог-маммолог, хирург, врач УЗД Санкт-Петербург, Онколог-маммолог, хирург, врач УЗД СПб, клиника Одинцова врачи",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/doctors/vlasenko,Профиль врача,Власенко Ольга Сергеевна — гинеколог в СПб,Власенко Ольга Сергеевна,"Власенко Ольга Сергеевна: гинеколог, акушер-гинеколог, врач узд. Стаж 16 лет. Запись в клинику Одинцова на Богатырском проспекте, 22 к. 1.","Власенко Ольга Сергеевна, Гинеколог, акушер-гинеколог, врач УЗД Санкт-Петербург, Гинеколог, акушер-гинеколог, врач УЗД СПб, клиника Одинцова врачи",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/doctors/zaharova,Профиль врача,Захарова Татьяна Николаевна — гинеколог в СПб,Захарова Татьяна Николаевна,"Захарова Татьяна Николаевна: гинеколог, акушер-гинеколог, врач узд. Стаж 35 лет. Запись в клинику Одинцова на Богатырском проспекте, 22 к. 1.","Захарова Татьяна Николаевна, Гинеколог, акушер-гинеколог, врач УЗД Санкт-Петербург, Гинеколог, акушер-гинеколог, врач УЗД СПб, клиника Одинцова врачи",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
https://odintsovclinic.ru/endocrinology,Услуга / навигационная,Эндокринолог в СПб — приём и цены | Клиника Одинцова,Эндокринология в Санкт-Петербурге: спокойный разбор гормонов и обмена веществ,"Приём эндокринолога в Приморском районе Санкт-Петербурга: заболевания щитовидной железы, разбор анализов и план наблюдения. Врачи, цены и запись.","эндокринология Санкт-Петербург, эндокринолог Приморский район, щитовидная железа, гормоны, Клиника Одинцова",См. отдельную выгрузку Wordstat; частотности фраз не суммировать
