record_type,page_or_cluster,query,operator_scope,region,period,devices,count,count_status,api_method
broad_seed,endometrioz,эндометриоз,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,16226,reported,Wordstat GetTop
broad_seed,eroziya-sheyki-matki,эрозия шейки матки,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,2057,reported,Wordstat GetTop
broad_seed,fibroadenoma,фиброаденома,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,3288,reported,Wordstat GetTop
broad_seed,gipotireoz,гипотиреоз,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,10130,reported,Wordstat GetTop
broad_seed,kista-molochnoy-zhelezy,киста молочной железы,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,1617,reported,Wordstat GetTop
broad_seed,mastopatiya,мастопатия,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,2836,reported,Wordstat GetTop
broad_seed,tireoidit-khashimoto,тиреоидит Хашимото,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,330,reported,Wordstat GetTop
broad_seed,brand,клиника Одинцова,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,813,reported,Wordstat GetTop
broad_seed,brand,Одинцов маммолог,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,34,reported,Wordstat GetTop
broad_seed,doctor-odintsov,Одинцов Владислав Александрович,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,34,reported,Wordstat GetTop
broad_seed,doctor-prikhodko,Приходько Кирилл Андреевич,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,34,reported,Wordstat GetTop
broad_seed,doctor-matsukhov,Мацухов Алим Суфьянович,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,40,reported,Wordstat GetTop
broad_seed,doctor-skurikhin,Скурихин Семён Сергеевич,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,67,reported,Wordstat GetTop
broad_seed,doctor-egorova,Егорова Анастасия Александровна,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,11,reported,Wordstat GetTop
broad_seed,doctor-vlasenko,Власенко Ольга Сергеевна,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,51,reported,Wordstat GetTop
broad_seed,doctor-zakharova,Захарова Татьяна Николаевна,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,21,reported,Wordstat GetTop
broad_seed,doctor-nevzorova,Невзорова Елена Александровна,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,48,reported,Wordstat GetTop
broad_seed,doctor-kalinina,Калинина Ирина Аркадьевна,широкая фраза: включает вложенные формулировки,Санкт-Петербург (2),последние 30 дней,все устройства,44,reported,Wordstat GetTop
exact_quoted,mammology,"""маммолог спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,358,reported,Wordstat GetTop
exact_quoted,mammology,"""маммолог санкт петербург""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,564,reported,Wordstat GetTop
exact_quoted,mammology,"""маммолог приморский район""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,10,reported,Wordstat GetTop
exact_quoted,mammology,"""маммолог комендантский проспект""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,2,reported,Wordstat GetTop
exact_quoted,mammology,"""онколог маммолог спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,74,reported,Wordstat GetTop
exact_quoted,mammology,"""записаться к маммологу спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,17,reported,Wordstat GetTop
exact_quoted,mammology,"""прием маммолога спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,21,reported,Wordstat GetTop
exact_quoted,mammology,"""узи молочных желез спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,363,reported,Wordstat GetTop
exact_quoted,vab,"""ваб спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,vab,"""ваб молочной железы спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,vab,"""вакуумная аспирационная биопсия спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,vab,"""удаление фиброаденомы спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,5,reported,Wordstat GetTop
exact_quoted,vab,"""ваб цена спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,vab,"""вакуумная биопсия молочной железы спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,gynecology,"""гинеколог спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,1015,reported,Wordstat GetTop
exact_quoted,gynecology,"""гинеколог санкт петербург""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,6461,reported,Wordstat GetTop
exact_quoted,gynecology,"""гинеколог приморский район""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,17,reported,Wordstat GetTop
exact_quoted,gynecology,"""гинеколог комендантский проспект""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,14,reported,Wordstat GetTop
exact_quoted,gynecology,"""прием гинеколога спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,45,reported,Wordstat GetTop
exact_quoted,gynecology,"""гинеколог узи спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,41,reported,Wordstat GetTop
exact_quoted,gynecology,"""гинеколог цена спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,endocrinology,"""эндокринолог спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,529,reported,Wordstat GetTop
exact_quoted,endocrinology,"""эндокринолог санкт петербург""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,4311,reported,Wordstat GetTop
exact_quoted,endocrinology,"""эндокринолог приморский район""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,20,reported,Wordstat GetTop
exact_quoted,endocrinology,"""эндокринолог комендантский проспект""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,5,reported,Wordstat GetTop
exact_quoted,endocrinology,"""прием эндокринолога спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,9,reported,Wordstat GetTop
exact_quoted,endocrinology,"""эндокринолог цена спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,8,reported,Wordstat GetTop
exact_quoted,nutrition,"""нутрициолог спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,54,reported,Wordstat GetTop
exact_quoted,nutrition,"""нутрициолог санкт петербург""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,144,reported,Wordstat GetTop
exact_quoted,nutrition,"""нутрициолог приморский район""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,nutrition,"""консультация нутрициолога спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,19,reported,Wordstat GetTop
exact_quoted,nutrition,"""нутрициолог цена спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,adenomioz,"""аденомиоз лечение спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,adenomioz,"""аденомиоз гинеколог спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,endometrioz,"""эндометриоз лечение спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,2,reported,Wordstat GetTop
exact_quoted,endometrioz,"""эндометриоз гинеколог спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,2,reported,Wordstat GetTop
exact_quoted,eroziya-sheyki-matki,"""эрозия шейки матки лечение спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,eroziya-sheyki-matki,"""прижигание эрозии спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,fibroadenoma,"""фиброаденома лечение спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,fibroadenoma,"""удаление фиброаденомы спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,5,reported,Wordstat GetTop
exact_quoted,gipotireoz,"""гипотиреоз лечение спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,2,reported,Wordstat GetTop
exact_quoted,gipotireoz,"""гипотиреоз эндокринолог спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,1,reported,Wordstat GetTop
exact_quoted,kista-molochnoy-zhelezy,"""киста молочной железы лечение спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,kista-molochnoy-zhelezy,"""удаление кисты молочной железы спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,mastopatiya,"""мастопатия лечение спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,mastopatiya,"""мастопатия маммолог спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,tireoidit-khashimoto,"""тиреоидит хашимото лечение спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,tireoidit-khashimoto,"""аутоиммунный тиреоидит эндокринолог спб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,,totalCount_not_returned,Wordstat GetTop
exact_quoted,brand,"""клиника одинцова""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,157,reported,Wordstat GetTop
exact_quoted,brand,"""одинцов маммолог""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,5,reported,Wordstat GetTop
exact_quoted,vab,"""ваб""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,32,reported,Wordstat GetTop
exact_quoted,vab,"""вакуумная аспирационная биопсия""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,4,reported,Wordstat GetTop
exact_quoted,vab,"""вакуумная биопсия молочной железы""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,1,reported,Wordstat GetTop
exact_quoted,vab,"""удаление фиброаденомы""",кавычки: фиксированное число слов,Санкт-Петербург (2),последние 30 дней,все устройства,11,reported,Wordstat GetTop
curated_expansion,mammology,маммолог отзывы,вложенная фраза broad-seed «маммолог»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,2188,reported,Wordstat GetTop
curated_expansion,mammology,маммолог спб,вложенная фраза broad-seed «маммолог»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,2070,reported,Wordstat GetTop
curated_expansion,mammology,маммолог санкт петербург,вложенная фраза broad-seed «маммолог»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,857,reported,Wordstat GetTop
curated_expansion,mammology,онколог маммолог спб,вложенная фраза broad-seed «маммолог»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,437,reported,Wordstat GetTop
curated_expansion,vab,аспирационная вакуумная биопсия молочных желез,вложенная фраза broad-seed «вакуумная аспирационная биопсия»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,23,reported,Wordstat GetTop
curated_expansion,vab,вакуумная аспирационная биопсия фиброаденомы,вложенная фраза broad-seed «вакуумная аспирационная биопсия»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,7,reported,Wordstat GetTop
curated_expansion,vab,вакуумная аспирационная биопсия цена,вложенная фраза broad-seed «вакуумная аспирационная биопсия»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,3,reported,Wordstat GetTop
curated_expansion,vab,удаление фиброаденомы спб,вложенная фраза broad-seed «удаление фиброаденомы»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,46,reported,Wordstat GetTop
curated_expansion,gynecology,гинеколог спб,вложенная фраза broad-seed «гинеколог»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,11298,reported,Wordstat GetTop
curated_expansion,gynecology,гинеколог санкт петербург,вложенная фраза broad-seed «гинеколог»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,8471,reported,Wordstat GetTop
curated_expansion,gynecology,прием у гинеколога,вложенная фраза broad-seed «гинеколог»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,2036,reported,Wordstat GetTop
curated_expansion,endocrinology,эндокринолог спб,вложенная фраза broad-seed «эндокринолог»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,6921,reported,Wordstat GetTop
curated_expansion,endocrinology,эндокринолог санкт петербург,вложенная фраза broad-seed «эндокринолог»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,5968,reported,Wordstat GetTop
curated_expansion,endocrinology,прием эндокринолога,вложенная фраза broad-seed «эндокринолог»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,1616,reported,Wordstat GetTop
curated_expansion,nutrition,нутрициолог спб,вложенная фраза broad-seed «нутрициолог»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,400,reported,Wordstat GetTop
curated_expansion,nutrition,нутрициолог санкт петербург,вложенная фраза broad-seed «нутрициолог»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,190,reported,Wordstat GetTop
curated_expansion,nutrition,диетолог нутрициолог,вложенная фраза broad-seed «нутрициолог»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,169,reported,Wordstat GetTop
curated_expansion,adenomioz,аденомиоз лечение,вложенная фраза broad-seed «аденомиоз»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,243,reported,Wordstat GetTop
curated_expansion,adenomioz,признаки аденомиоза,вложенная фраза broad-seed «аденомиоз»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,169,reported,Wordstat GetTop
curated_expansion,endometrioz,эндометриоз лечение,вложенная фраза broad-seed «эндометриоз»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,729,reported,Wordstat GetTop
curated_expansion,endometrioz,эндометриоз симптомы,вложенная фраза broad-seed «эндометриоз»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,581,reported,Wordstat GetTop
curated_expansion,eroziya-sheyki-matki,прижигание эрозии шейки матки,вложенная фраза broad-seed «эрозия шейки матки»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,83,reported,Wordstat GetTop
curated_expansion,eroziya-sheyki-matki,эрозия шейки матки лечение,вложенная фраза broad-seed «эрозия шейки матки»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,51,reported,Wordstat GetTop
curated_expansion,fibroadenoma,удаление фиброаденомы,вложенная фраза broad-seed «фиброаденома»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,272,reported,Wordstat GetTop
curated_expansion,gipotireoz,гипотиреоз симптомы,вложенная фраза broad-seed «гипотиреоз»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,728,reported,Wordstat GetTop
curated_expansion,gipotireoz,гипотиреоз лечение,вложенная фраза broad-seed «гипотиреоз»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,335,reported,Wordstat GetTop
curated_expansion,kista-molochnoy-zhelezy,киста молочной железы лечение,вложенная фраза broad-seed «киста молочной железы»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,67,reported,Wordstat GetTop
curated_expansion,kista-molochnoy-zhelezy,пункция кист молочных желез,вложенная фраза broad-seed «киста молочной железы»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,58,reported,Wordstat GetTop
curated_expansion,mastopatiya,мастопатия лечение,вложенная фраза broad-seed «мастопатия»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,158,reported,Wordstat GetTop
curated_expansion,tireoidit-khashimoto,тиреоидит хашимото лечение,вложенная фраза broad-seed «тиреоидит Хашимото»; пересекается с другими строками,Санкт-Петербург (2),последние 30 дней,все устройства,12,reported,Wordstat GetTop
